video_id,timestamp,x1,y1,x2,y2,action_id,action,action_name,person_id
-FaXLcSFjUI,1084,0.332,0.363,0.517,0.855,27,drinking_water,喝水/饮用,45
-FaXLcSFjUI,1085,0.249,0.441,0.376,0.762,27,drinking_water,喝水/饮用,48
-FaXLcSFjUI,1086,0.343,0.385,0.519,0.83,27,drinking_water,喝水/饮用,49
-FaXLcSFjUI,1088,0.326,0.451,0.544,0.838,27,drinking_water,喝水/饮用,50
-FaXLcSFjUI,1089,0.314,0.437,0.526,0.855,27,drinking_water,喝水/饮用,50
-FaXLcSFjUI,1096,0.039,0.074,0.939,1.0,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1097,0.282,0.0,0.95,0.994,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1098,0.112,0.035,0.945,0.971,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1099,0.15,0.016,0.906,0.997,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1100,0.073,0.023,0.958,0.928,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1101,0.108,0.0,0.973,0.98,27,drinking_water,喝水/饮用,53
-FaXLcSFjUI,1102,0.082,0.0,0.95,0.994,27,drinking_water,喝水/饮用,54
-FaXLcSFjUI,1103,0.107,0.017,0.947,0.977,27,drinking_water,喝水/饮用,54
-FaXLcSFjUI,1104,0.097,0.002,0.96,0.996,27,drinking_water,喝水/饮用,54
-FaXLcSFjUI,1105,0.199,0.006,0.972,1.0,27,drinking_water,喝水/饮用,54
-FaXLcSFjUI,1107,0.01,0.014,0.935,0.97,27,drinking_water,喝水/饮用,55
-OyDO1g74vc,934,0.384,0.396,0.5,0.659,15,talking_on_phone,接电话,3
-OyDO1g74vc,935,0.378,0.388,0.488,0.649,15,talking_on_phone,接电话,3
-OyDO1g74vc,936,0.459,0.449,0.57,0.694,15,talking_on_phone,接电话,3
-OyDO1g74vc,966,0.306,0.206,0.719,0.981,15,talking_on_phone,接电话,4
-OyDO1g74vc,967,0.342,0.16,0.713,0.988,15,talking_on_phone,接电话,4
-OyDO1g74vc,968,0.309,0.159,0.673,0.986,15,talking_on_phone,接电话,4
-OyDO1g74vc,969,0.302,0.148,0.697,0.98,15,talking_on_phone,接电话,4
-OyDO1g74vc,970,0.305,0.144,0.68,0.981,15,talking_on_phone,接电话,4
-OyDO1g74vc,971,0.34,0.076,0.713,0.969,15,talking_on_phone,接电话,4
-OyDO1g74vc,972,0.324,0.055,0.72,0.967,15,talking_on_phone,接电话,4
-OyDO1g74vc,973,0.296,0.075,0.691,0.965,15,talking_on_phone,接电话,4
-OyDO1g74vc,974,0.308,0.144,0.751,0.971,15,talking_on_phone,接电话,4
-OyDO1g74vc,990,0.126,0.043,1.0,0.981,15,talking_on_phone,接电话,9
-OyDO1g74vc,991,0.133,0.05,1.0,0.982,15,talking_on_phone,接电话,9
-OyDO1g74vc,992,0.07,0.053,0.994,0.975,15,talking_on_phone,接电话,9
-OyDO1g74vc,993,0.029,0.028,1.0,0.982,15,talking_on_phone,接电话,9
-OyDO1g74vc,994,0.036,0.036,1.0,0.979,15,talking_on_phone,接电话,9
-OyDO1g74vc,995,0.06,0.023,1.0,0.976,15,talking_on_phone,接电话,9
-OyDO1g74vc,996,0.083,0.038,1.0,0.975,15,talking_on_phone,接电话,9
-OyDO1g74vc,997,0.091,0.051,0.991,0.983,15,talking_on_phone,接电话,9
-OyDO1g74vc,998,0.093,0.039,1.0,0.982,15,talking_on_phone,接电话,9
-OyDO1g74vc,999,0.008,0.051,0.972,0.984,15,talking_on_phone,接电话,9
-OyDO1g74vc,1000,0.0,0.063,0.94,0.973,15,talking_on_phone,接电话,9
-OyDO1g74vc,1001,0.051,0.041,1.0,0.986,15,talking_on_phone,接电话,9
-OyDO1g74vc,1002,0.125,0.047,1.0,0.983,15,talking_on_phone,接电话,9
-OyDO1g74vc,1003,0.157,0.045,1.0,0.992,15,talking_on_phone,接电话,9
-OyDO1g74vc,1004,0.093,0.052,0.988,0.984,15,talking_on_phone,接电话,9
-OyDO1g74vc,1005,0.075,0.043,1.0,0.989,15,talking_on_phone,接电话,9
-OyDO1g74vc,1006,0.078,0.038,1.0,0.982,15,talking_on_phone,接电话,9
-OyDO1g74vc,1007,0.089,0.037,0.999,0.981,15,talking_on_phone,接电话,9
-OyDO1g74vc,1008,0.105,0.039,1.0,0.982,15,talking_on_phone,接电话,9
-OyDO1g74vc,1009,0.087,0.037,1.0,0.986,15,talking_on_phone,接电话,9
-OyDO1g74vc,1010,0.155,0.042,1.0,0.981,15,talking_on_phone,接电话,9
-OyDO1g74vc,1011,0.017,0.054,0.985,0.978,15,talking_on_phone,接电话,9
-OyDO1g74vc,1012,0.039,0.052,0.993,0.977,15,talking_on_phone,接电话,9
-OyDO1g74vc,1013,0.037,0.051,0.983,0.953,15,talking_on_phone,接电话,9
-OyDO1g74vc,1014,0.014,0.059,1.0,0.983,15,talking_on_phone,接电话,9
-OyDO1g74vc,1015,0.153,0.041,1.0,0.983,15,talking_on_phone,接电话,9
-OyDO1g74vc,1016,0.071,0.035,1.0,0.995,15,talking_on_phone,接电话,9
-OyDO1g74vc,1017,0.063,0.048,1.0,0.984,15,talking_on_phone,接电话,9
-OyDO1g74vc,1018,0.075,0.04,1.0,0.974,15,talking_on_phone,接电话,9
-OyDO1g74vc,1019,0.133,0.055,1.0,0.982,15,talking_on_phone,接电话,9
