clip_id,video_id,action_id,action_name,canonical_action,clip_path,stage2_dir,vlm_dir,comparison_path,fused_path,stage2_status,vlm_status,fused_status,stage2_event_count,vlm_present,error
38TF8_c106_t0.00_31.50,38TF8,c106,Drinking from a cup/glass/bottle,drinking_water,data/charades/clips_480p/38TF8_c106_t0.00_31.50.mp4,outputs/charades_clip_batch_50_part20/38TF8_c106_t0.00_31.50/stage2,outputs/charades_clip_batch_50_part20/38TF8_c106_t0.00_31.50/vlm_review,outputs/charades_clip_batch_50_part20/38TF8_c106_t0.00_31.50/comparison.json,outputs/charades_clip_batch_50_part20/38TF8_c106_t0.00_31.50/fused_events.json,ok,completed,ok,9,False,
QU2WL_c019_t0.00_34.21,QU2WL,c019,Talking on a phone/camera,talking_on_phone,data/charades/clips_480p/QU2WL_c019_t0.00_34.21.mp4,outputs/charades_clip_batch_50_part20/QU2WL_c019_t0.00_34.21/stage2,outputs/charades_clip_batch_50_part20/QU2WL_c019_t0.00_34.21/vlm_review,outputs/charades_clip_batch_50_part20/QU2WL_c019_t0.00_34.21/comparison.json,outputs/charades_clip_batch_50_part20/QU2WL_c019_t0.00_34.21/fused_events.json,ok,completed,ok,12,True,
ENJ7V_c015_t0.00_39.79,ENJ7V,c015,Holding a phone/camera,holding_phone,data/charades/clips_480p/ENJ7V_c015_t0.00_39.79.mp4,outputs/charades_clip_batch_50_part20/ENJ7V_c015_t0.00_39.79/stage2,outputs/charades_clip_batch_50_part20/ENJ7V_c015_t0.00_39.79/vlm_review,outputs/charades_clip_batch_50_part20/ENJ7V_c015_t0.00_39.79/comparison.json,outputs/charades_clip_batch_50_part20/ENJ7V_c015_t0.00_39.79/fused_events.json,ok,completed,ok,15,True,
75HWR_c016_t0.00_37.00,75HWR,c016,Playing with a phone/camera,looking_at_phone,data/charades/clips_480p/75HWR_c016_t0.00_37.00.mp4,outputs/charades_clip_batch_50_part20/75HWR_c016_t0.00_37.00/stage2,outputs/charades_clip_batch_50_part20/75HWR_c016_t0.00_37.00/vlm_review,outputs/charades_clip_batch_50_part20/75HWR_c016_t0.00_37.00/comparison.json,outputs/charades_clip_batch_50_part20/75HWR_c016_t0.00_37.00/fused_events.json,ok,completed,ok,0,True,
7JTEK_c156_t0.00_35.29,7JTEK,c156,Someone is eating something,eating,data/charades/clips_480p/7JTEK_c156_t0.00_35.29.mp4,outputs/charades_clip_batch_50_part20/7JTEK_c156_t0.00_35.29/stage2,outputs/charades_clip_batch_50_part20/7JTEK_c156_t0.00_35.29/vlm_review,outputs/charades_clip_batch_50_part20/7JTEK_c156_t0.00_35.29/comparison.json,outputs/charades_clip_batch_50_part20/7JTEK_c156_t0.00_35.29/fused_events.json,ok,completed,ok,0,True,
7WIKW_c151_t17.10_42.10,7WIKW,c151,Someone is going from standing to sitting,sitting_down,data/charades/clips_480p/7WIKW_c151_t17.10_42.10.mp4,outputs/charades_clip_batch_50_part20/7WIKW_c151_t17.10_42.10/stage2,outputs/charades_clip_batch_50_part20/7WIKW_c151_t17.10_42.10/vlm_review,outputs/charades_clip_batch_50_part20/7WIKW_c151_t17.10_42.10/comparison.json,outputs/charades_clip_batch_50_part20/7WIKW_c151_t17.10_42.10/fused_events.json,ok,completed,ok,0,True,
1LKPL_c154_t0.00_33.58,1LKPL,c154,Someone is standing up from somewhere,standing_up,data/charades/clips_480p/1LKPL_c154_t0.00_33.58.mp4,outputs/charades_clip_batch_50_part20/1LKPL_c154_t0.00_33.58/stage2,outputs/charades_clip_batch_50_part20/1LKPL_c154_t0.00_33.58/vlm_review,outputs/charades_clip_batch_50_part20/1LKPL_c154_t0.00_33.58/comparison.json,outputs/charades_clip_batch_50_part20/1LKPL_c154_t0.00_33.58/fused_events.json,ok,completed,ok,0,False,
229ZR_c059_t0.00_40.42,229ZR,c059,Sitting in a chair,sitting_on_chair,data/charades/clips_480p/229ZR_c059_t0.00_40.42.mp4,outputs/charades_clip_batch_50_part20/229ZR_c059_t0.00_40.42/stage2,outputs/charades_clip_batch_50_part20/229ZR_c059_t0.00_40.42/vlm_review,outputs/charades_clip_batch_50_part20/229ZR_c059_t0.00_40.42/comparison.json,outputs/charades_clip_batch_50_part20/229ZR_c059_t0.00_40.42/fused_events.json,ok,completed,ok,0,True,
STAZI_c097_t0.00_19.10,STAZI,c097,Walking through a doorway,walking_through_doorway,data/charades/clips_480p/STAZI_c097_t0.00_19.10.mp4,outputs/charades_clip_batch_50_part20/STAZI_c097_t0.00_19.10/stage2,outputs/charades_clip_batch_50_part20/STAZI_c097_t0.00_19.10/vlm_review,outputs/charades_clip_batch_50_part20/STAZI_c097_t0.00_19.10/comparison.json,outputs/charades_clip_batch_50_part20/STAZI_c097_t0.00_19.10/fused_events.json,ok,completed,ok,0,False,
M0DAY_c150_t0.00_24.83,M0DAY,c150,Someone is running somewhere,running,data/charades/clips_480p/M0DAY_c150_t0.00_24.83.mp4,outputs/charades_clip_batch_50_part20/M0DAY_c150_t0.00_24.83/stage2,outputs/charades_clip_batch_50_part20/M0DAY_c150_t0.00_24.83/vlm_review,outputs/charades_clip_batch_50_part20/M0DAY_c150_t0.00_24.83/comparison.json,outputs/charades_clip_batch_50_part20/M0DAY_c150_t0.00_24.83/fused_events.json,ok,completed,ok,0,False,
